State,Action,Reward,New_State
"[1.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 14.0]",5,0,"[1.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 1.7999999523162842, 14.0]"
"[1.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 1.7999999523162842, 14.0]",6,0,"[1.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.7999999523162842, 14.0]"
"[1.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.7999999523162842, 14.0]",4,0,"[1.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 14.0]"
"[1.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 14.0]",9,-1,"[1.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 14.0]"
"[1.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 14.0]",7,-2,"[1.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 14.0]"
"[1.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 14.0]",0,-1,"[0.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0]"
"[0.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0]",1,-1,"[0.0, 1.0, 6.543300151824951, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 9.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",9,-1,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.0]",5,0,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",4,0,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0]",9,-1,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 1.0, 2.0, 0.0, 4.0, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 1.0, 2.0, 0.0, 4.0, 0.0]",3,0,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 4.0, 0.0]"
"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 4.0, 0.0]",10,0,"[1.0, 3.0, 5.800000190734863, 4.0, 6.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 4.0, 0.0]"
