Episodio,Durata/Episodio,Loss/Episodio,Reward/Episodio
1,4,0.45760098184272463,6
2,4,0.758312476678052,6
3,3,0.3883957143282403,7
4,3,0.33544584259910143,7
5,10,0.5759381353681027,-10
6,3,0.3088983670455993,7
7,10,0.4391311468154404,-10
8,8,0.4788335005711503,3
9,10,0.4267824107725592,-10
10,6,0.5652355595988708,4
11,10,0.37788153955034787,0
12,10,0.34433942158553676,-9
13,2,0.29413651980093614,8
14,10,0.5552977062432556,-9
15,3,0.4326576529592763,7
16,10,0.32685965548739865,-10
17,1,0.13528666959349722,9
18,10,0.45243517110005016,-9
19,10,0.6652947556704601,-9
20,5,0.4809727087669984,6
21,3,0.7229691430583984,7
22,4,0.4551791351448554,16
23,10,0.45718498527535906,-9
24,10,0.572737924464356,-10
25,4,0.3367768233738196,16
26,10,0.44398334780853965,-11
27,6,0.5499552102062817,4
28,1,0.13862635584250538,9
29,2,0.7591392298907436,8
30,10,0.42754902201676714,-10
31,10,0.5817094943034776,-10
32,10,0.5872825594149128,-10
33,9,0.42048614788711713,1
34,10,0.606629531414554,-9
35,10,0.3882987983283077,-9
36,10,0.5817943848107425,-9
37,10,0.4793823561721844,-10
38,3,0.4565987173761214,7
39,10,0.44970029026475694,-9
40,10,0.43390805954818096,-10
41,1,0.5836220458929667,9
42,10,0.5813587209720739,-9
43,5,0.5636827690348472,5
44,5,0.4313175369810285,5
45,5,0.6033375366806617,5
46,10,0.39085290414581053,-9
47,7,0.2973754478248546,3
48,3,0.5233325674500785,7
49,3,0.5754362887866814,7
50,10,0.5658776818144867,-10
51,6,0.6421344567644292,5
52,10,0.5456706703760854,-9
53,2,0.2783428356216723,8
54,5,0.6411654530388553,5
55,10,0.5012501375556988,-10
56,3,0.5949101786866989,18
57,2,0.2747571080764209,8
58,6,0.5103414532489522,4
59,6,0.49695671700363975,4
60,8,0.372529543158391,2
61,4,0.4727986609302301,6
62,10,0.42684697416968775,-10
63,2,0.4024874498518485,8
64,2,0.37132581867157893,8
65,3,0.3579110078592202,7
66,5,0.544625508268617,5
67,10,0.5836541105594057,-9
68,2,0.770153989812623,8
69,6,0.4751971984858458,5
70,10,0.4258948893077769,-10
71,1,0.6984383111848783,9
72,10,0.4357603880494766,-10
73,10,0.3493695988332516,-9
74,4,0.5389884398683296,6
75,2,0.3463460631931496,8
76,4,0.1765283421578759,6
77,10,0.621254059020699,-9
78,2,0.5822496231700418,8
79,3,0.6831969544378964,8
80,3,0.6021281192414604,7
81,10,0.48784483866620043,-10
82,4,0.46253817427602695,7
83,8,0.571953389235516,2
84,3,0.3718338740312377,7
85,10,0.45565579559892405,-10
86,10,0.3054305210143452,0
87,2,0.19672684066789942,8
88,10,0.4496983307830956,-9
89,4,0.5818684010962982,6
90,9,0.37759664898988254,2
91,10,0.5160005789336801,-9
92,3,0.46135746890828283,17
93,1,0.24774881826417494,9
94,2,0.7331742210812462,9
95,4,0.33559850759473714,6
96,2,0.2218001864144004,9
97,2,0.5732819786901353,8
98,3,0.2951675321253593,17
99,10,0.5628752722116304,-9
100,10,0.40146967556900826,-9
101,10,0.48031152438743197,-10
102,10,0.47925654914658605,-8
103,7,0.6700406577255916,4
104,10,0.6050310529209104,-10
105,3,0.33196094432380463,7
106,3,0.197943801043142,7
107,10,0.35718781149506357,-9
108,4,0.6924105197726644,6
109,2,0.4887841179023811,8
110,10,0.6434058276999906,-10
111,10,0.3578569452427393,-10
112,10,0.565519329339421,-9
113,10,0.529121758955431,-11
114,10,0.42715864585060465,-10
115,4,0.504844103111946,6
116,10,0.44357540091570324,-10
117,3,0.4620625960753438,7
118,10,0.49032247037522325,-10
119,10,0.4504888469555035,-9
120,10,0.603567495831805,-10
121,9,0.45841715591223114,2
122,7,0.5205723059347138,3
123,4,0.620128899983033,6
124,10,0.5189315460324817,-10
125,3,0.551174804339301,7
126,10,0.5390539039319829,-9
127,10,0.37993469495557086,-10
128,10,0.5365304360519859,-10
129,10,0.40903385758872374,-9
130,8,0.5275624585921601,2
