Timestep,Episodio,Stato,Azione,Ricompensa,Stato successivo,Terminato
1,1,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 11.0]",5,-1,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 10.5]",False
2,1,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 10.5]",6,-1,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 1.7999999523162842, 10.0]",False
3,1,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 1.7999999523162842, 10.0]",0,-1,"[1.0, 3.0, 6.396666526794434, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 10.0]",False
4,1,"[1.0, 3.0, 6.396666526794434, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 10.0]",8,9,"[0.0, 3.0, 7.016666889190674, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 10.0]",True
5,2,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 4.0]",9,-1,"[1.0, 3.0, 5.823333263397217, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 4.0]",False
6,2,"[1.0, 3.0, 5.823333263397217, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 4.0]",9,-1,"[1.0, 3.0, 5.829999923706055, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 7.0, 3.0]",False
7,2,"[1.0, 3.0, 5.829999923706055, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 7.0, 3.0]",2,-1,"[1.0, 3.0, 5.836666584014893, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 7.0, 3.0]",False
8,2,"[1.0, 3.0, 5.836666584014893, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 7.0, 3.0]",8,9,"[1.0, 2.0, 7.076666831970215, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 7.0, 1.0]",True
9,3,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",6,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",False
10,3,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",9,-1,"[1.0, 3.0, 5.820000171661377, 3.0, 7.0, 1.0, 1.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",False
