time/time_elapsed,rollout/exploration_rate,time/fps,rollout/ep_rew_mean,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/loss
67,0.9049999999999999,0,-9.0,1,10,10.0,,,
210,0.8099999999999998,0,-9.5,2,20,10.0,,,
254,0.7529999999999998,0,-5.0,3,26,8.666666666666666,,,
360,0.6579999999999997,0,-5.75,4,36,9.0,,,
391,0.6484999999999997,0,-2.8,5,37,7.4,,,
475,0.5534999999999997,0,-4.0,6,47,7.833333333333333,,,
526,0.5154999999999996,0,-1.1428571428571428,7,51,7.285714285714286,,,
695,0.42050000000000054,0,-2.25,8,61,7.625,,,
764,0.32550000000000046,0,-3.111111111111111,9,71,7.888888888888889,,,
832,0.23050000000000037,0,-3.7,10,81,8.1,,,
869,0.2020000000000004,0,-1.8181818181818181,11,84,7.636363636363637,,,
912,0.10700000000000043,0,-2.5,12,94,7.833333333333333,,,
943,0.06900000000000028,0,-1.8461538461538463,13,98,7.538461538461538,,,
987,0.050000000000000266,0,-1.1428571428571428,14,100,7.142857142857143,,,
1039,0.05,0,-0.5333333333333333,15,102,6.8,,,
1116,0.05,0,-1.125,16,112,7.0,0.0001,2,0.46505841612815857
1168,0.05,0,-0.5882352941176471,17,114,6.705882352941177,0.0001,3,1.1054682731628418
1291,0.05,0,-1.1111111111111112,18,124,6.888888888888889,0.0001,5,0.7379970550537109
1344,0.05,0,-0.631578947368421,19,126,6.631578947368421,0.0001,6,0.5591762065887451
1601,0.05,0,-0.6,20,136,6.8,0.0001,8,0.7372350692749023
1772,0.05,0,-0.42857142857142855,21,143,6.809523809523809,0.0001,10,0.19618724286556244
1825,0.05,0,-0.045454545454545456,22,145,6.590909090909091,0.0001,11,0.7855303883552551
1949,0.05,0,-0.4782608695652174,23,155,6.739130434782608,0.0001,13,1.263601541519165
2003,0.05,0,-0.875,24,165,6.875,0.0001,16,0.7680932283401489
2093,0.05,0,-1.24,25,175,7.0,0.0001,18,1.5272196531295776
2145,0.05,0,-0.8846153846153846,26,177,6.8076923076923075,0.0001,19,1.5814969539642334
2198,0.05,0,-0.5555555555555556,27,179,6.62962962962963,,,
2418,0.05,0,-0.8928571428571429,28,189,6.75,0.0001,22,1.52631676197052
2456,0.05,0,-0.5862068965517241,29,191,6.586206896551724,,,
2612,0.05,0,-0.5666666666666667,30,201,6.7,0.0001,25,0.3403775990009308
2650,0.05,0,-0.2903225806451613,31,203,6.548387096774194,,,
2687,0.05,0,-0.03125,32,205,6.40625,0.0001,26,1.397201418876648
2724,0.05,0,0.21212121212121213,33,207,6.2727272727272725,,,
2827,0.05,0,-0.08823529411764706,34,217,6.382352941176471,0.0001,29,1.007004976272583
2945,0.05,0,0.02857142857142857,35,223,6.371428571428571,0.0001,30,1.3071832656860352
3110,0.05,0,-0.25,36,233,6.472222222222222,0.0001,33,0.9835687875747681
3221,0.05,0,-0.5135135135135135,37,243,6.5675675675675675,0.0001,35,1.5480241775512695
3291,0.05,0,-0.7631578947368421,38,253,6.657894736842105,0.0001,38,1.034097671508789
3403,0.05,0,-1.0,39,263,6.743589743589744,0.0001,40,1.5799000263214111
3555,0.05,0,-1.225,40,273,6.825,0.0001,43,0.7675034403800964
3612,0.05,0,-1.4390243902439024,41,283,6.902439024390244,0.0001,45,0.24974721670150757
3706,0.05,0,-1.3333333333333333,42,290,6.904761904761905,0.0001,47,0.9736655354499817
3770,0.05,0,-1.5348837209302326,43,300,6.976744186046512,0.0001,49,1.21709406375885
3817,0.05,0,-1.7272727272727273,44,310,7.045454545454546,0.0001,52,0.6732157468795776
3864,0.05,0,-1.9111111111111112,45,320,7.111111111111111,0.0001,54,1.539395809173584
3870,0.05,0,-2.0869565217391304,46,330,7.173913043478261,0.0001,57,0.6790252923965454
3876,0.05,0,-2.25531914893617,47,340,7.23404255319149,0.0001,59,1.2380939722061157
3882,0.05,0,-2.3958333333333335,48,350,7.291666666666667,0.0001,62,0.7105218172073364
3889,0.05,0,-2.5510204081632653,49,360,7.346938775510204,0.0001,64,0.13227032124996185
3895,0.05,0,-2.74,50,370,7.4,0.0001,67,0.1385406106710434
3948,0.05,0,-2.8627450980392157,51,380,7.450980392156863,0.0001,69,1.2396754026412964
3954,0.05,0,-3.0,52,390,7.5,0.0001,72,1.2159830331802368
3997,0.05,0,-3.1320754716981134,53,400,7.547169811320755,0.0001,74,0.1372850388288498
4003,0.05,0,-3.2777777777777777,54,410,7.592592592592593,0.0001,77,1.5482749938964844
4045,0.05,0,-3.4,55,420,7.636363636363637,0.0001,79,1.244446873664856
4077,0.05,0,-3.5357142857142856,56,430,7.678571428571429,0.0001,82,0.6964708566665649
4110,0.05,0,-3.6842105263157894,57,440,7.719298245614035,0.0001,84,0.98643958568573
