step,Duration/Episode,Loss/Episode,Reward/Episode
0,2.0,0.0,8.0
1,4.0,0.0,6.0
2,10.0,0.0,0.0
3,8.0,0.0,2.0
4,10.0,0.0,-10.0
5,2.0,0.0,8.0
6,10.0,0.0,-10.0
7,5.0,0.0,5.0
8,3.0,0.0,7.0
9,9.0,0.0,1.0
10,10.0,0.0,-10.0
11,3.0,0.0,7.0
12,2.0,0.0,8.0
13,4.0,0.0,6.0
14,10.0,0.0,-10.0
15,10.0,0.0,-10.0
16,1.0,0.0,9.0
17,10.0,0.0,0.0
18,6.0,0.0,4.0
19,2.0,0.0,8.0
20,9.0,0.0,1.0
21,4.0,0.0,6.0
22,10.0,0.0,-10.0
23,2.0,0.0,8.0
24,1.0,0.0,9.0
25,7.0,0.0,3.0
26,4.0,0.0,6.0
27,5.0,0.0,5.0
28,3.0,0.0,7.0
29,5.0,0.0,5.0
30,10.0,0.0,-10.0
31,2.0,0.0,8.0
32,8.0,0.0,2.0
33,2.0,0.0,8.0
34,8.0,0.0,2.0
35,4.0,0.0,16.0
36,3.0,0.0,17.0
37,3.0,0.0,7.0
38,10.0,0.0,-10.0
39,4.0,0.0,6.0
40,2.0,0.0,8.0
41,1.0,0.0,9.0
42,3.0,0.0,7.0
43,5.0,0.0,5.0
44,4.0,0.0,16.0
45,3.0,0.0,7.0
46,2.0,0.0,8.0
47,1.0,0.0,9.0
48,1.0,0.0,9.0
49,9.0,0.0,1.0
50,3.0,0.0,7.0
51,3.0,0.0,7.0
52,3.0,0.0,7.0
53,2.0,0.0,8.0
54,10.0,0.0,-10.0
55,9.0,0.0,1.0
56,4.0,0.0,16.0
57,4.0,0.0,6.0
58,1.0,0.0,9.0
59,1.0,0.0,9.0
60,3.0,0.0,7.0
61,2.0,0.0,8.0
62,2.0,0.0,8.0
63,1.0,0.0,9.0
64,3.0,0.0,7.0
65,4.0,0.0,6.0
66,3.0,0.0,7.0
67,1.0,0.0,9.0
68,3.0,0.0,7.0
69,2.0,0.0,8.0
70,3.0,0.0,7.0
71,10.0,0.0,0.0
72,2.0,0.0,18.0
73,2.0,0.0,18.0
74,5.0,0.0,5.0
75,1.0,0.0,9.0
76,2.0,0.0,8.0
77,10.0,0.0,-10.0
78,3.0,0.0,7.0
79,4.0,0.0,6.0
80,4.0,0.0,6.0
81,5.0,0.0,5.0
82,10.0,0.0,-10.0
83,3.0,0.0,7.0
84,2.0,0.0,8.0
85,6.0,0.0,4.0
86,2.0,0.0,8.0
87,4.0,0.0,6.0
88,3.0,0.0,7.0
89,10.0,0.0,0.0
90,3.0,0.0,7.0
91,2.0,0.0,18.0
92,2.0,0.0,8.0
93,5.0,0.0,5.0
94,1.0,0.0,9.0
95,1.0,0.0,9.0
96,1.0,0.0,9.0
97,1.0,0.0,9.0
98,2.0,0.0,8.0
