step,Duration/Episode,Loss/Episode,Reward/Episode
0,4.0,0.0,6.0
1,10.0,0.0,-10.0
2,4.0,0.0,6.0
3,3.0,0.0,7.0
4,2.0,0.0,8.0
5,10.0,0.0,-10.0
6,6.0,0.0,4.0
7,2.0,0.0,8.0
8,2.0,0.0,18.0
9,2.0,0.0,8.0
10,6.0,0.0,4.0
11,4.0,0.0,6.0
12,10.0,0.0,-11.0
13,10.0,0.0,-10.0
14,4.0,0.0,6.0
15,8.0,0.0,2.0
16,5.0,0.0,5.0
17,4.0,0.0,6.0
18,10.0,0.0,-10.0
19,10.0,0.0,-10.0
20,4.0,0.0,6.0
21,5.0,0.0,5.0
22,10.0,0.0,-10.0
23,8.0,0.0,2.0
24,10.0,0.0,0.0
25,2.0,0.0,8.0
26,2.0,0.0,8.0
27,2.0,0.0,8.0
28,1.0,0.0,9.0
29,5.0,0.0,5.0
30,6.0,0.0,4.0
31,1.0,0.0,9.0
32,10.0,0.0,-10.0
33,4.0,0.0,6.0
34,3.0,0.0,7.0
35,1.0,0.0,9.0
36,2.0,0.0,8.0
37,3.0,0.0,7.0
38,1.0,0.0,9.0
39,10.0,0.0,-10.0
40,4.0,0.0,6.0
41,2.0,0.0,8.0
42,3.0,0.0,7.0
43,1.0,0.0,9.0
44,5.0,0.0,5.0
45,3.0,0.0,7.0
46,10.0,0.0,-11.0
47,2.0,0.0,8.0
48,2.0,0.0,8.0
49,1.0,0.0,9.0
50,2.0,0.0,8.0
51,5.0,0.0,5.0
52,6.0,0.0,4.0
53,1.0,0.0,9.0
54,3.0,0.0,7.0
55,3.0,0.0,7.0
56,1.0,0.0,9.0
57,1.0,0.0,9.0
58,2.0,0.0,8.0
59,10.0,0.0,-10.0
60,2.0,0.0,8.0
61,3.0,0.0,7.0
62,1.0,0.0,9.0
63,3.0,0.0,7.0
64,1.0,0.0,9.0
65,1.0,0.0,9.0
66,1.0,0.0,9.0
67,10.0,0.0,-10.0
68,4.0,0.0,6.0
69,4.0,0.0,6.0
70,3.0,0.0,17.0
71,6.0,0.0,14.0
72,1.0,0.0,9.0
73,4.0,0.0,16.0
74,10.0,0.0,0.0
75,2.0,0.0,8.0
76,3.0,0.0,17.0
77,2.0,0.0,8.0
78,3.0,0.0,17.0
79,3.0,0.0,7.0
80,10.0,0.0,0.0
81,3.0,0.0,7.0
82,3.0,0.0,7.0
83,1.0,0.0,9.0
84,10.0,0.0,-10.0
85,2.0,0.0,8.0
86,10.0,0.0,-10.0
87,1.0,0.0,9.0
88,5.0,0.0,5.0
89,3.0,0.0,7.0
90,1.0,0.0,9.0
91,3.0,0.0,17.0
92,2.0,0.0,8.0
93,4.0,0.0,6.0
94,1.0,0.0,9.0
95,2.0,0.0,8.0
96,3.0,0.0,7.0
97,2.0,0.0,8.0
98,2.0,0.0,8.0
99,10.0,0.0,-10.0
100,1.0,0.0,9.0
101,1.0,0.0,9.0
102,6.0,0.0,4.0
103,4.0,0.0,6.0
104,2.0,0.0,8.0
105,1.0,0.0,9.0
106,1.0,0.0,9.0
107,2.0,0.0,8.0
108,2.0,0.0,8.0
109,1.0,0.0,9.0
110,1.0,0.0,9.0
111,1.0,0.0,9.0
112,3.0,0.0,7.0
113,1.0,0.0,9.0
114,3.0,0.0,7.0
115,1.0,0.0,9.0
116,2.0,0.0,18.0
117,1.0,0.0,9.0
118,3.0,0.0,7.0
119,10.0,0.0,-10.0
120,1.0,0.0,9.0
121,1.0,0.0,9.0
122,3.0,0.0,7.0
123,1.0,0.0,9.0
124,4.0,0.0,6.0
125,4.0,0.0,6.0
126,4.0,0.0,6.0
127,5.0,0.0,5.0
128,1.0,0.0,9.0
129,1.0,0.0,9.0
130,10.0,0.0,-10.0
131,1.0,0.0,9.0
132,10.0,0.0,-10.0
133,1.0,0.0,9.0
134,3.0,0.0,7.0
135,1.0,0.0,9.0
136,1.0,0.0,9.0
137,1.0,0.0,9.0
138,3.0,0.0,7.0
139,10.0,0.0,-10.0
140,3.0,0.0,17.0
141,2.0,0.0,18.0
142,2.0,0.0,8.0
143,5.0,0.0,5.0
144,1.0,0.0,9.0
145,1.0,0.0,9.0
146,1.0,0.0,9.0
147,1.0,0.0,9.0
148,6.0,0.0,4.0
149,10.0,0.0,-10.0
150,1.0,0.0,9.0
151,1.0,0.0,9.0
152,1.0,0.0,9.0
153,1.0,0.0,9.0
154,3.0,0.0,7.0
155,1.0,0.0,9.0
156,3.0,0.0,7.0
157,3.0,0.0,8.0
158,2.0,0.0,8.0
159,8.0,0.0,12.0
160,3.0,0.0,7.0
161,1.0,0.0,9.0
162,1.0,0.0,9.0
163,1.0,0.0,9.0
164,10.0,0.0,-10.0
165,1.0,0.0,9.0
166,1.0,0.0,9.0
167,2.0,0.0,18.0
168,2.0,0.0,18.0
169,1.0,0.0,9.0
170,2.0,0.0,8.0
171,1.0,0.0,9.0
172,2.0,0.0,9.0
173,2.0,0.0,8.0
174,3.0,0.0,7.0
175,2.0,0.0,18.0
176,3.0,0.0,7.0
177,4.0,0.0,6.0
178,1.0,0.0,9.0
179,6.0,0.0,4.0
180,2.0,0.0,8.0
181,1.0,0.0,9.0
182,2.0,0.0,8.0
183,10.0,0.0,0.0
184,1.0,0.0,9.0
185,10.0,0.0,-10.0
186,1.0,0.0,9.0
187,1.0,0.0,9.0
188,2.0,0.0,8.0
189,1.0,0.0,9.0
190,1.0,0.0,9.0
191,2.0,0.0,8.0
192,1.0,0.0,9.0
193,1.0,0.0,9.0
194,6.0,0.0,4.0
195,2.0,0.0,8.0
196,2.0,0.0,8.0
197,3.0,0.0,7.0
198,2.0,0.0,8.0
199,2.0,0.0,8.0
200,2.0,0.0,8.0
201,1.0,0.0,9.0
202,1.0,0.0,9.0
203,1.0,0.0,9.0
204,3.0,0.0,7.0
205,2.0,0.0,8.0
206,2.0,0.0,8.0
207,1.0,0.0,9.0
208,9.0,0.0,1.0
209,2.0,0.0,8.0
210,5.0,0.0,5.0
211,2.0,0.0,18.0
212,1.0,0.0,9.0
213,2.0,0.0,8.0
214,1.0,0.0,9.0
215,1.0,0.0,9.0
216,2.0,0.0,8.0
217,2.0,0.0,8.0
218,2.0,0.0,8.0
219,4.0,0.0,6.0
220,1.0,0.0,9.0
221,2.0,0.0,8.0
222,7.0,0.0,3.0
223,2.0,0.0,8.0
224,9.0,0.0,1.0
225,1.0,0.0,9.0
226,4.0,0.0,6.0
227,3.0,0.0,7.0
228,1.0,0.0,9.0
229,2.0,0.0,8.0
230,2.0,0.0,8.0
231,2.0,0.0,8.0
232,3.0,0.0,7.0
233,2.0,0.0,8.0
234,1.0,0.0,9.0
235,1.0,0.0,9.0
236,2.0,0.0,8.0
237,1.0,0.0,9.0
238,4.0,0.0,6.0
239,2.0,0.0,8.0
240,2.0,0.0,8.0
241,4.0,0.0,6.0
242,2.0,0.0,18.0
243,1.0,0.0,9.0
244,3.0,0.0,7.0
245,1.0,0.0,9.0
246,1.0,0.0,9.0
247,1.0,0.0,9.0
248,6.0,0.0,4.0
249,7.0,0.0,3.0
250,1.0,0.0,9.0
251,4.0,0.0,6.0
252,2.0,0.0,8.0
253,3.0,0.0,7.0
254,1.0,0.0,9.0
255,1.0,0.0,9.0
256,2.0,0.0,8.0
257,1.0,0.0,9.0
258,2.0,0.0,8.0
259,1.0,0.0,9.0
260,1.0,0.0,9.0
261,3.0,0.0,7.0
262,10.0,0.0,-10.0
263,2.0,0.0,18.0
264,2.0,0.0,8.0
265,2.0,0.0,8.0
266,2.0,0.0,8.0
267,1.0,0.0,9.0
268,2.0,0.0,18.0
269,1.0,0.0,9.0
270,1.0,0.0,9.0
271,10.0,0.0,-10.0
272,1.0,0.0,9.0
273,2.0,0.0,8.0
274,1.0,0.0,9.0
275,1.0,0.0,9.0
276,1.0,0.0,9.0
277,2.0,0.0,8.0
278,2.0,0.0,8.0
279,1.0,0.0,9.0
280,2.0,0.0,8.0
281,1.0,0.0,9.0
282,1.0,0.0,9.0
283,2.0,0.0,8.0
284,1.0,0.0,9.0
285,2.0,0.0,8.0
286,1.0,0.0,9.0
287,2.0,0.0,8.0
288,1.0,0.0,9.0
289,10.0,0.0,-10.0
290,2.0,0.0,8.0
291,2.0,0.0,18.0
292,1.0,0.0,9.0
293,1.0,0.0,9.0
294,1.0,0.0,9.0
295,10.0,0.0,-10.0
296,1.0,0.0,9.0
297,2.0,0.0,8.0
298,1.0,0.0,9.0
299,1.0,0.0,9.0
300,1.0,0.0,9.0
301,2.0,0.0,8.0
302,1.0,0.0,9.0
303,1.0,0.0,9.0
304,1.0,0.0,9.0
305,1.0,0.0,9.0
306,2.0,0.0,18.0
307,2.0,0.0,8.0
308,1.0,0.0,9.0
309,6.0,0.0,4.0
310,1.0,0.0,9.0
311,1.0,0.0,9.0
312,1.0,0.0,9.0
313,1.0,0.0,9.0
314,2.0,0.0,8.0
315,2.0,0.0,18.0
316,2.0,0.0,8.0
317,1.0,0.0,9.0
318,1.0,0.0,9.0
319,10.0,0.0,-10.0
320,1.0,0.0,9.0
321,1.0,0.0,9.0
322,1.0,0.0,9.0
323,1.0,0.0,9.0
324,10.0,0.0,-10.0
325,3.0,0.0,7.0
326,10.0,0.0,-10.0
327,1.0,0.0,9.0
328,1.0,0.0,19.0
329,1.0,0.0,9.0
330,4.0,0.0,6.0
