step,Duration/Episode,Loss/Episode,Reward/Episode
0,1.0,0.0,9.0
1,5.0,0.0,5.0
2,1.0,0.0,9.0
3,3.0,0.0,7.0
4,2.0,0.0,8.0
5,8.0,0.0,2.0
6,10.0,0.0,-10.0
7,10.0,0.0,-10.0
8,1.0,0.0,9.0
9,10.0,0.0,-10.0
10,3.0,0.0,7.0
11,3.0,0.0,7.0
12,2.0,0.0,8.0
13,10.0,0.0,-10.0
14,7.0,0.0,13.0
15,7.0,0.0,3.0
16,2.0,0.0,8.0
17,4.0,0.0,16.0
18,1.0,0.0,9.0
19,2.0,0.0,8.0
20,1.0,0.0,9.0
21,3.0,0.0,7.0
22,10.0,0.0,-10.0
23,2.0,0.0,8.0
24,4.0,0.0,6.0
25,2.0,0.0,8.0
26,1.0,0.0,9.0
27,2.0,0.0,8.0
28,4.0,0.0,6.0
29,8.0,0.0,2.0
30,5.0,0.0,5.0
31,6.0,0.0,4.0
32,10.0,0.0,0.0
33,10.0,0.0,-10.0
34,5.0,0.0,5.0
35,1.0,0.0,9.0
36,10.0,0.0,-10.0
37,3.0,0.0,7.0
38,2.0,0.0,8.0
39,1.0,0.0,9.0
40,5.0,0.0,5.0
41,1.0,0.0,9.0
42,4.0,0.0,6.0
43,10.0,0.0,-10.0
44,10.0,0.0,-10.0
45,3.0,0.0,7.0
46,2.0,0.0,8.0
47,3.0,0.0,7.0
48,2.0,0.0,8.0
49,10.0,0.0,-10.0
50,2.0,0.0,8.0
51,3.0,0.0,7.0
52,3.0,0.0,7.0
53,4.0,0.0,16.0
54,10.0,0.0,0.0
55,2.0,0.0,8.0
56,5.0,0.0,5.0
57,2.0,0.0,8.0
58,7.0,0.0,3.0
59,10.0,0.0,-10.0
60,4.0,0.0,6.0
61,4.0,0.0,16.0
62,8.0,0.0,2.0
63,4.0,0.0,6.0
64,2.0,0.0,8.0
65,10.0,0.0,-10.0
66,3.0,0.0,7.0
67,1.0,0.0,9.0
68,1.0,0.0,9.0
69,10.0,0.0,-10.0
70,2.0,0.0,8.0
71,4.0,0.0,6.0
72,10.0,0.0,-10.0
73,2.0,0.0,8.0
74,1.0,0.0,9.0
