step,Duration/Episode,Loss/Episode,Reward/Episode
0,10.0,0.0,-10.0
1,6.0,0.0,4.0
2,3.0,0.0,7.0
3,10.0,0.0,-11.0
4,2.0,0.0,8.0
5,4.0,0.0,6.0
6,2.0,0.0,18.0
7,8.0,0.0,2.0
8,2.0,0.0,8.0
9,10.0,0.0,-10.0
10,2.0,0.0,8.0
11,5.0,0.0,5.0
12,3.0,0.0,7.0
13,1.0,0.0,9.0
14,3.0,0.0,17.0
15,3.0,0.0,7.0
16,5.0,0.0,15.0
17,5.0,0.0,5.0
18,10.0,0.0,-10.0
19,10.0,0.0,-10.0
20,5.0,0.0,5.0
21,3.0,0.0,7.0
22,10.0,0.0,-9.0
23,4.0,0.0,6.0
24,1.0,0.0,9.0
25,1.0,0.0,9.0
26,4.0,0.0,6.0
27,4.0,0.0,6.0
28,10.0,0.0,-10.0
29,1.0,0.0,9.0
30,10.0,0.0,-10.0
31,6.0,0.0,4.0
32,1.0,0.0,9.0
33,3.0,0.0,7.0
34,1.0,0.0,9.0
35,1.0,0.0,9.0
36,2.0,0.0,8.0
37,3.0,0.0,7.0
38,10.0,0.0,-10.0
39,2.0,0.0,8.0
40,2.0,0.0,8.0
41,7.0,0.0,3.0
42,5.0,0.0,5.0
43,3.0,0.0,7.0
44,4.0,0.0,6.0
45,1.0,0.0,9.0
46,1.0,0.0,9.0
47,2.0,0.0,8.0
48,1.0,0.0,9.0
49,5.0,0.0,5.0
50,3.0,0.0,7.0
51,1.0,0.0,9.0
52,2.0,0.0,18.0
53,2.0,0.0,8.0
54,2.0,0.0,8.0
55,1.0,0.0,9.0
56,2.0,0.0,8.0
57,6.0,0.0,4.0
58,3.0,0.0,7.0
59,5.0,0.0,5.0
60,2.0,0.0,8.0
61,1.0,0.0,9.0
62,3.0,0.0,7.0
63,1.0,0.0,9.0
64,3.0,0.0,7.0
65,2.0,0.0,8.0
66,2.0,0.0,18.0
67,2.0,0.0,8.0
68,10.0,0.0,-10.0
69,4.0,0.0,16.0
70,1.0,0.0,9.0
71,2.0,0.0,18.0
72,1.0,0.0,9.0
73,4.0,0.0,6.0
74,1.0,0.0,9.0
75,3.0,0.0,7.0
76,2.0,0.0,8.0
77,2.0,0.0,18.0
78,1.0,0.0,9.0
79,2.0,0.0,8.0
80,1.0,0.0,9.0
81,2.0,0.0,8.0
82,6.0,0.0,4.0
83,1.0,0.0,9.0
84,10.0,0.0,-10.0
85,2.0,0.0,8.0
86,1.0,0.0,9.0
87,1.0,0.0,9.0
88,2.0,0.0,8.0
89,3.0,0.0,7.0
90,4.0,0.0,6.0
91,1.0,0.0,9.0
92,1.0,0.0,9.0
93,4.0,0.0,6.0
94,1.0,0.0,9.0
95,3.0,0.0,7.0
96,1.0,0.0,9.0
97,2.0,0.0,18.0
98,7.0,0.0,3.0
99,1.0,0.0,9.0
100,1.0,0.0,9.0
101,2.0,0.0,8.0
102,10.0,0.0,0.0
103,4.0,0.0,6.0
104,10.0,0.0,-10.0
105,4.0,0.0,6.0
106,3.0,0.0,7.0
107,10.0,0.0,-10.0
108,4.0,0.0,6.0
109,9.0,0.0,1.0
110,5.0,0.0,5.0
111,6.0,0.0,4.0
112,10.0,0.0,-10.0
113,2.0,0.0,8.0
114,4.0,0.0,6.0
115,2.0,0.0,8.0
116,3.0,0.0,7.0
117,1.0,0.0,9.0
118,3.0,0.0,7.0
119,10.0,0.0,-10.0
120,3.0,0.0,7.0
121,2.0,0.0,8.0
122,1.0,0.0,9.0
123,10.0,0.0,0.0
124,2.0,0.0,8.0
125,10.0,0.0,-10.0
126,6.0,0.0,4.0
127,1.0,0.0,9.0
128,2.0,0.0,8.0
129,10.0,0.0,-10.0
130,1.0,0.0,9.0
131,1.0,0.0,19.0
132,1.0,0.0,9.0
