Timestep,Episodio,Stato,Azione,Ricompensa,Stato successivo,Terminato
11,4,"[1.0, 3.0, 6.973333358764648, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",5,-1,"[1.0, 3.0, 6.986666679382324, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",False
12,4,"[1.0, 3.0, 6.986666679382324, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",6,-1,"[1.0, 3.0, 6.993333339691162, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 1.0]",False
13,4,"[1.0, 3.0, 6.993333339691162, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 1.0]",8,9,"[0.0, 3.0, 7.013333320617676, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 1.0]",True
14,5,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 1.7999999523162842, 1.0]",7,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.03999999910593033, 1.7999999523162842, 1.0]",False
15,5,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.03999999910593033, 1.7999999523162842, 1.0]",3,-1,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0533333346247673, 1.7999999523162842, 1.0]",False
16,5,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0533333346247673, 1.7999999523162842, 1.0]",10,-1,"[0.0, 1.0, 5.820000171661377, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.07999999821186066, 1.7999999523162842, 1.0]",False
17,5,"[0.0, 1.0, 5.820000171661377, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.07999999821186066, 1.7999999523162842, 1.0]",9,-1,"[0.0, 1.0, 5.816666603088379, 3.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.07999999821186066, 8.0, 1.0]",False
18,5,"[0.0, 1.0, 5.816666603088379, 3.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.07999999821186066, 8.0, 1.0]",1,-1,"[0.0, 1.0, 4.599999904632568, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 1.0]",False
19,5,"[0.0, 1.0, 4.599999904632568, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 1.0]",11,-1,"[0.0, 1.0, 3.7766666412353516, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 1.0]",False
20,5,"[0.0, 1.0, 3.7766666412353516, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 1.0]",1,-1,"[0.0, 1.0, 2.559999942779541, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 1.0]",False
21,5,"[0.0, 1.0, 2.559999942779541, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 1.0]",7,-1,"[0.0, 1.0, 2.556666612625122, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 1.0]",False
22,5,"[0.0, 1.0, 2.556666612625122, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 1.0]",11,9,"[0.0, 1.0, 1.7300000190734863, 2.0, 9.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 1.0]",True
23,6,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",2,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",False
24,6,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",7,-1,"[1.0, 2.0, 5.820000171661377, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",False
25,6,"[1.0, 2.0, 5.820000171661377, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",11,9,"[0.0, 1.0, 5.25, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 2.0, 1.7999999523162842, 1.0]",True
26,7,"[1.0, 3.0, 5.900000095367432, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.3866666555404663, 1.7999999523162842, 1.0]",5,-1,"[1.0, 3.0, 5.9033331871032715, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.4000000059604645, 1.7999999523162842, 1.0]",False
27,7,"[1.0, 3.0, 5.9033331871032715, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.4000000059604645, 1.7999999523162842, 1.0]",10,-1,"[1.0, 3.0, 5.909999847412109, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.4266666769981384, 1.7999999523162842, 1.0]",False
28,7,"[1.0, 3.0, 5.909999847412109, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.4266666769981384, 1.7999999523162842, 1.0]",1,9,"[1.0, 3.0, 7.980000019073486, 2.0, 10.0, 0.0, 3.0, 0.0, 0.0, 1.0, 1.8533333539962769, 1.7999999523162842, 1.0]",True
29,8,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 1.0]",2,-1,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 1.7999999523162842, 1.0]",False
30,8,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 1.7999999523162842, 1.0]",10,-1,"[1.0, 2.0, 5.823333263397217, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0533333346247673, 1.7999999523162842, 1.0]",False
31,8,"[1.0, 2.0, 5.823333263397217, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0533333346247673, 1.7999999523162842, 1.0]",7,-1,"[1.0, 2.0, 5.826666831970215, 1.0, 8.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.06666667014360428, 1.7999999523162842, 1.0]",False
32,8,"[1.0, 2.0, 5.826666831970215, 1.0, 8.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.06666667014360428, 1.7999999523162842, 1.0]",2,-1,"[1.0, 2.0, 5.829999923706055, 1.0, 8.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.07999999821186066, 1.7999999523162842, 1.0]",False
33,8,"[1.0, 2.0, 5.829999923706055, 1.0, 8.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.07999999821186066, 1.7999999523162842, 1.0]",4,0,"[1.0, 2.0, 5.836666584014893, 1.0, 8.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.1066666692495346, 1.7999999523162842, 1.0]",False
34,8,"[1.0, 2.0, 5.836666584014893, 1.0, 8.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.1066666692495346, 1.7999999523162842, 1.0]",1,9,"[1.0, 2.0, 8.166666984558105, 1.0, 8.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 18.5]",True
35,9,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 0.0]",6,-1,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 1.7999999523162842, 0.0]",False
36,9,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 1.7999999523162842, 0.0]",0,-1,"[1.0, 3.0, 6.380000114440918, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0533333346247673, 1.7999999523162842, 0.0]",False
37,9,"[1.0, 3.0, 6.380000114440918, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0533333346247673, 1.7999999523162842, 0.0]",11,9,"[0.0, 3.0, 7.013333320617676, 3.0, 7.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0533333346247673, 1.7999999523162842, 0.0]",True
38,10,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 0.0]",4,0,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 1.7999999523162842, 0.0]",False
39,10,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 1.7999999523162842, 0.0]",8,-1,"[0.0, 3.0, 6.953333377838135, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 18.0]",False
40,10,"[0.0, 3.0, 6.953333377838135, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 18.0]",9,-1,"[0.0, 3.0, 6.949999809265137, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 17.5]",False
41,10,"[0.0, 3.0, 6.949999809265137, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 17.5]",6,-1,"[0.0, 3.0, 6.949999809265137, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 8.0, 17.0]",False
42,10,"[0.0, 3.0, 6.949999809265137, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 8.0, 17.0]",10,-1,"[0.0, 3.0, 6.949999809265137, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 16.0]",False
43,10,"[0.0, 3.0, 6.949999809265137, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 16.0]",11,-1,"[0.0, 3.0, 6.949999809265137, 0.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 15.5]",False
44,10,"[0.0, 3.0, 6.949999809265137, 0.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 15.5]",4,-2,"[0.0, 3.0, 6.949999809265137, 0.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 15.0]",False
45,10,"[0.0, 3.0, 6.949999809265137, 0.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 15.0]",8,-1,"[0.0, 3.0, 6.949999809265137, 0.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 3.0]",False
46,10,"[0.0, 3.0, 6.949999809265137, 0.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 3.0]",1,-1,"[0.0, 3.0, 6.949999809265137, 0.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 0.5]",False
47,10,"[0.0, 3.0, 6.949999809265137, 0.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 0.5]",9,-1,"[0.0, 3.0, 6.949999809265137, 0.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 7.0, 0.0]",True
48,11,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 1.0]",0,-1,"[1.0, 3.0, 6.110000133514404, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.159999966621399, 1.7999999523162842, 1.0]",False
49,11,"[1.0, 3.0, 6.110000133514404, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.159999966621399, 1.7999999523162842, 1.0]",7,-1,"[1.0, 3.0, 6.113333225250244, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.1866666078567505, 1.7999999523162842, 1.0]",False
50,11,"[1.0, 3.0, 6.113333225250244, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.1866666078567505, 1.7999999523162842, 1.0]",4,0,"[0.0, 1.0, 6.116666793823242, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 2.0, 1.2000000476837158, 1.7999999523162842, 1.0]",False
51,11,"[0.0, 1.0, 6.116666793823242, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 2.0, 1.2000000476837158, 1.7999999523162842, 1.0]",3,-1,"[0.0, 1.0, 6.116666793823242, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 1.2266666889190674, 1.7999999523162842, 0.5]",False
52,11,"[0.0, 1.0, 6.116666793823242, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 1.2266666889190674, 1.7999999523162842, 0.5]",0,-1,"[0.0, 1.0, 5.816666603088379, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 15.5]",False
53,11,"[0.0, 1.0, 5.816666603088379, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 15.5]",8,-1,"[0.0, 1.0, 4.599999904632568, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 13.5]",False
54,11,"[0.0, 1.0, 4.599999904632568, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 13.5]",4,-2,"[0.0, 1.0, 4.5966668128967285, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 13.0]",False
55,11,"[0.0, 1.0, 4.5966668128967285, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 13.0]",1,-1,"[0.0, 1.0, 3.383333444595337, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 10.5]",False
56,11,"[0.0, 1.0, 3.383333444595337, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 10.5]",6,-1,"[0.0, 1.0, 3.376666784286499, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 10.0]",False
57,11,"[0.0, 1.0, 3.376666784286499, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 10.0]",0,-1,"[0.0, 1.0, 3.373333215713501, 3.0, 7.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 6.5]",True
58,12,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 0.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 6.5]",1,-1,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 10.0]",False
59,12,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 10.0]",4,0,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 9.5]",False
60,12,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 9.5]",5,-1,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 8.5]",False
61,12,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 2.0, 0.0, 1.7999999523162842, 8.5]",8,-1,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",False
62,12,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",1,-1,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",False
63,12,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",5,-1,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",False
64,12,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",0,-1,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",False
65,12,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",5,-1,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",False
66,12,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",5,-1,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",False
67,12,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",5,-1,"[0.0, 3.0, 6.880000114440918, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 8.5]",True
68,13,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 3.0]",3,-1,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 2.0]",False
69,13,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 2.0]",2,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 1.5]",False
70,13,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 1.5]",9,-1,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 1.0]",False
71,13,"[1.0, 3.0, 5.816666603088379, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 1.0]",4,0,"[1.0, 2.0, 5.816666603088379, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 8.0, 1.0]",False
72,13,"[1.0, 2.0, 5.816666603088379, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.013333333656191826, 8.0, 1.0]",1,9,"[1.0, 2.0, 7.103333473205566, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 8.0, 9.0]",True
73,14,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 7.5]",9,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 7.0, 7.5]",False
74,14,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 7.0, 7.5]",6,-1,"[1.0, 3.0, 5.826666831970215, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 7.0, 6.5]",False
75,14,"[1.0, 3.0, 5.826666831970215, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 7.0, 6.5]",10,-1,"[1.0, 3.0, 5.833333492279053, 3.0, 10.0, 0.0, 1.0, 0.0, 1.0, 3.0, 0.0, 7.0, 6.0]",False
76,14,"[1.0, 3.0, 5.833333492279053, 3.0, 10.0, 0.0, 1.0, 0.0, 1.0, 3.0, 0.0, 7.0, 6.0]",8,-1,"[1.0, 3.0, 8.260000228881836, 1.0, 10.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 7.0, 0.5]",False
77,14,"[1.0, 3.0, 8.260000228881836, 1.0, 10.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 7.0, 0.5]",10,-1,"[1.0, 3.0, 8.266666412353516, 1.0, 10.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 7.0, 0.5]",False
78,14,"[1.0, 3.0, 8.266666412353516, 1.0, 10.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 7.0, 0.5]",1,9,"[0.0, 3.0, 9.006667137145996, 0.0, 9.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 7.0, 0.5]",True
79,15,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 0.5]",8,-1,"[0.0, 3.0, 6.960000038146973, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 4.0]",False
80,15,"[0.0, 3.0, 6.960000038146973, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 4.0]",10,-1,"[0.0, 3.0, 6.960000038146973, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 3.5]",False
81,15,"[0.0, 3.0, 6.960000038146973, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 3.5]",6,-1,"[0.0, 3.0, 6.960000038146973, 1.0, 8.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 3.5]",False
