step,Duration/Episode,Loss/Episode,Reward/Episode
0,3.0,0.0,7.0
1,5.0,0.0,5.0
2,3.0,0.0,7.0
3,2.0,0.0,8.0
4,10.0,0.0,-10.0
5,8.0,0.0,2.0
6,10.0,0.0,-10.0
7,3.0,0.0,7.0
8,3.0,0.0,7.0
9,10.0,0.0,-10.0
10,10.0,0.0,-10.0
11,4.0,0.0,6.0
12,10.0,0.0,-9.0
13,3.0,0.0,7.0
14,5.0,0.0,5.0
15,2.0,0.0,8.0
16,10.0,0.0,-9.0
17,10.0,0.0,-10.0
18,4.0,0.0,6.0
19,3.0,0.0,7.0
20,10.0,0.0,-10.0
21,5.0,0.0,5.0
22,6.0,0.0,4.0
23,8.0,0.0,2.0
24,3.0,0.0,7.0
25,3.0,0.0,7.0
26,2.0,0.0,8.0
27,1.0,0.0,9.0
28,1.0,0.0,9.0
29,2.0,0.0,8.0
30,1.0,0.0,9.0
31,3.0,0.0,7.0
32,4.0,0.0,6.0
33,8.0,0.0,2.0
34,5.0,0.0,5.0
35,2.0,0.0,8.0
36,1.0,0.0,9.0
37,2.0,0.0,8.0
38,1.0,0.0,9.0
39,9.0,0.0,1.0
40,10.0,0.0,-10.0
41,6.0,0.0,4.0
42,1.0,0.0,9.0
43,3.0,0.0,7.0
44,9.0,0.0,1.0
45,5.0,0.0,5.0
46,6.0,0.0,4.0
47,2.0,0.0,8.0
48,2.0,0.0,8.0
49,5.0,0.0,5.0
50,10.0,0.0,-11.0
51,2.0,0.0,8.0
52,2.0,0.0,8.0
53,1.0,0.0,9.0
54,10.0,0.0,-10.0
55,10.0,0.0,-10.0
56,2.0,0.0,8.0
57,5.0,0.0,5.0
58,10.0,0.0,-10.0
59,3.0,0.0,7.0
60,2.0,0.0,8.0
61,1.0,0.0,9.0
62,1.0,0.0,9.0
63,3.0,0.0,7.0
64,1.0,0.0,9.0
65,1.0,0.0,9.0
66,5.0,0.0,5.0
67,3.0,0.0,7.0
68,3.0,0.0,7.0
69,1.0,0.0,9.0
70,1.0,0.0,9.0
71,1.0,0.0,9.0
72,1.0,0.0,9.0
73,4.0,0.0,6.0
74,10.0,0.0,-10.0
75,2.0,0.0,18.0
76,2.0,0.0,8.0
77,10.0,0.0,-10.0
78,1.0,0.0,9.0
79,1.0,0.0,9.0
80,1.0,0.0,9.0
81,2.0,0.0,8.0
82,4.0,0.0,6.0
83,10.0,0.0,-10.0
84,5.0,0.0,5.0
85,10.0,0.0,-10.0
86,2.0,0.0,8.0
87,2.0,0.0,8.0
88,2.0,0.0,8.0
89,1.0,0.0,9.0
90,1.0,0.0,9.0
91,1.0,0.0,9.0
92,1.0,0.0,9.0
93,6.0,0.0,4.0
94,1.0,0.0,9.0
95,2.0,0.0,8.0
96,1.0,0.0,9.0
97,1.0,0.0,9.0
98,3.0,0.0,7.0
99,1.0,0.0,9.0
100,3.0,0.0,7.0
101,1.0,0.0,9.0
102,3.0,0.0,7.0
103,2.0,0.0,8.0
104,3.0,0.0,7.0
105,1.0,0.0,9.0
106,7.0,0.0,3.0
107,2.0,0.0,8.0
108,5.0,0.0,5.0
109,5.0,0.0,5.0
110,1.0,0.0,9.0
111,3.0,0.0,7.0
112,1.0,0.0,9.0
113,2.0,0.0,8.0
114,10.0,0.0,-10.0
115,1.0,0.0,9.0
116,3.0,0.0,7.0
117,3.0,0.0,7.0
118,10.0,0.0,-10.0
119,1.0,0.0,9.0
120,2.0,0.0,8.0
121,1.0,0.0,9.0
122,4.0,0.0,6.0
123,3.0,0.0,7.0
124,2.0,0.0,8.0
125,1.0,0.0,9.0
126,8.0,0.0,2.0
127,2.0,0.0,-2.0
