step,Duration/Episode,Loss/Episode,Reward/Episode
0,2.0,0.0,8.0
1,5.0,0.0,5.0
2,6.0,0.0,4.0
3,10.0,0.0,-10.0
4,4.0,0.0,6.0
5,10.0,0.0,-10.0
6,4.0,0.0,6.0
7,7.0,0.0,3.0
8,7.0,0.0,3.0
9,10.0,0.0,-10.0
10,4.0,0.0,16.0
11,3.0,0.0,7.0
12,7.0,0.0,3.0
13,4.0,0.0,6.0
14,10.0,0.0,-10.0
15,10.0,0.0,-10.0
16,10.0,0.0,-10.0
17,7.0,0.0,3.0
18,3.0,0.0,7.0
19,10.0,0.0,-9.0
20,10.0,0.0,-10.0
21,6.0,0.0,4.0
22,10.0,0.0,-10.0
23,3.0,0.0,7.0
24,5.0,0.0,5.0
25,6.0,0.0,4.0
26,3.0,0.0,7.0
27,7.0,0.0,3.0
28,4.0,0.0,7.0
29,10.0,0.0,-10.0
30,10.0,0.0,-10.0
31,10.0,0.0,-10.0
32,10.0,0.0,-10.0
33,10.0,0.0,-10.0
34,10.0,0.0,-10.0
35,3.0,0.0,7.0
36,1.0,0.0,9.0
37,7.0,0.0,3.0
38,7.0,0.0,3.0
39,10.0,0.0,-10.0
40,6.0,0.0,4.0
41,3.0,0.0,7.0
42,10.0,0.0,-10.0
43,10.0,0.0,-10.0
44,10.0,0.0,-10.0
45,10.0,0.0,-10.0
46,10.0,0.0,0.0
47,1.0,0.0,9.0
48,10.0,0.0,0.0
49,10.0,0.0,-10.0
50,4.0,0.0,6.0
51,9.0,0.0,1.0
52,8.0,0.0,1.0
53,10.0,0.0,-10.0
54,2.0,0.0,8.0
55,10.0,0.0,0.0
56,3.0,0.0,7.0
57,10.0,0.0,-10.0
58,10.0,0.0,-10.0
59,10.0,0.0,0.0
60,2.0,0.0,8.0
61,10.0,0.0,-10.0
62,6.0,0.0,4.0
63,10.0,0.0,-10.0
64,10.0,0.0,-10.0
65,4.0,0.0,6.0
66,6.0,0.0,4.0
67,10.0,0.0,-11.0
68,10.0,0.0,-10.0
69,3.0,0.0,7.0
70,10.0,0.0,-11.0
71,4.0,0.0,6.0
72,10.0,0.0,-10.0
73,10.0,0.0,-11.0
74,10.0,0.0,-10.0
75,10.0,0.0,-10.0
76,10.0,0.0,-11.0
77,10.0,0.0,-10.0
78,4.0,0.0,6.0
79,10.0,0.0,-10.0
80,8.0,0.0,3.0
81,10.0,0.0,-10.0
82,5.0,0.0,5.0
83,10.0,0.0,-10.0
84,10.0,0.0,-10.0
85,10.0,0.0,-10.0
86,3.0,0.0,17.0
87,6.0,0.0,4.0
88,2.0,0.0,18.0
89,10.0,0.0,-11.0
90,10.0,0.0,-10.0
91,5.0,0.0,5.0
92,10.0,0.0,-10.0
93,10.0,0.0,-11.0
94,10.0,0.0,-10.0
95,10.0,0.0,-10.0
96,6.0,0.0,4.0
97,10.0,0.0,-9.0
98,10.0,0.0,-11.0
99,5.0,0.0,5.0
100,10.0,0.0,-10.0
101,3.0,0.0,7.0
102,10.0,0.0,-10.0
103,8.0,0.0,1.0
104,10.0,0.0,-10.0
105,10.0,0.0,-10.0
106,10.0,0.0,-10.0
107,10.0,0.0,-10.0
108,10.0,0.0,-10.0
109,10.0,0.0,-10.0
110,10.0,0.0,-10.0
111,4.0,0.0,6.0
112,10.0,0.0,-10.0
113,10.0,0.0,-10.0
114,2.0,0.0,9.0
115,10.0,0.0,-10.0
116,6.0,0.0,4.0
117,10.0,0.0,-10.0
118,4.0,0.0,6.0
119,10.0,0.0,-10.0
120,4.0,0.0,6.0
121,2.0,0.0,8.0
122,9.0,0.0,1.0
123,3.0,0.0,7.0
124,7.0,0.0,3.0
125,2.0,0.0,9.0
126,10.0,0.0,-10.0
127,9.0,0.0,1.0
128,6.0,0.0,4.0
129,2.0,0.0,8.0
130,6.0,0.0,4.0
131,5.0,0.0,5.0
132,4.0,0.0,6.0
133,4.0,0.0,6.0
134,10.0,0.0,-10.0
