Timestep,Episodio,Stato,Azione,Ricompensa,Stato successivo,Terminato
869,126,"[1.0, 2.0, 6.5933332443237305, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 0.5]",2,-1,"[1.0, 2.0, 6.5933332443237305, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 0.5]",False
870,126,"[1.0, 2.0, 6.5933332443237305, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 0.5]",7,-1,"[1.0, 2.0, 6.599999904632568, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 2.0, 8.0, 0.5]",True
871,127,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 0.5]",9,-1,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 1.7999999523162842, 0.5]",False
872,127,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.02666666731238365, 1.7999999523162842, 0.5]",3,-1,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.0533333346247673, 7.0, 0.5]",False
873,127,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.0533333346247673, 7.0, 0.5]",10,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.06666667014360428, 7.0, 0.5]",False
874,127,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.06666667014360428, 7.0, 0.5]",9,-1,"[1.0, 3.0, 5.820000171661377, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.07999999821186066, 7.0, 0.5]",False
875,127,"[1.0, 3.0, 5.820000171661377, 3.0, 7.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.07999999821186066, 7.0, 0.5]",5,-1,"[1.0, 3.0, 5.823333263397217, 0.0, 8.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.09333333373069763, 9.0, 0.5]",False
876,127,"[1.0, 3.0, 5.823333263397217, 0.0, 8.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 3.0, 0.09333333373069763, 9.0, 0.5]",6,-1,"[1.0, 3.0, 5.826666831970215, 0.0, 8.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.11999999731779099, 9.0, 0.5]",False
877,127,"[1.0, 3.0, 5.826666831970215, 0.0, 8.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.11999999731779099, 9.0, 0.5]",8,9,"[0.0, 3.0, 8.020000457763672, 0.0, 8.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.11999999731779099, 9.0, 0.5]",True
878,128,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.013333333656191826, 1.7999999523162842, 0.5]",11,-1,"[1.0, 3.0, 6.736666679382324, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 2.5]",False
879,128,"[1.0, 3.0, 6.736666679382324, 3.0, 7.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 1.7999999523162842, 2.5]",0,-1,"[0.0, 3.0, 6.96999979019165, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.09333336353302, 1.7999999523162842, 0.0]",False
880,128,"[0.0, 3.0, 6.96999979019165, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 1.09333336353302, 1.7999999523162842, 0.0]",8,-1,"[0.0, 3.0, 6.130000114440918, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.7200000286102295, 1.7999999523162842, 0.5]",False
881,128,"[0.0, 3.0, 6.130000114440918, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.7200000286102295, 1.7999999523162842, 0.5]",1,-1,"[0.0, 3.0, 5.226666450500488, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.6000000238418579, 1.7999999523162842, 1.0]",False
882,128,"[0.0, 3.0, 5.226666450500488, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.6000000238418579, 1.7999999523162842, 1.0]",2,-1,"[0.0, 3.0, 5.223333358764648, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.6133333444595337, 1.7999999523162842, 1.0]",False
883,128,"[0.0, 3.0, 5.223333358764648, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.6133333444595337, 1.7999999523162842, 1.0]",8,-1,"[1.0, 2.0, 6.730000019073486, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.4266666769981384, 1.7999999523162842, 0.5]",False
884,128,"[1.0, 2.0, 6.730000019073486, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.4266666769981384, 1.7999999523162842, 0.5]",2,-1,"[1.0, 2.0, 6.736666679382324, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.4533333480358124, 1.7999999523162842, 0.5]",False
885,128,"[1.0, 2.0, 6.736666679382324, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.4533333480358124, 1.7999999523162842, 0.5]",5,-1,"[1.0, 2.0, 6.739999771118164, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.46666666865348816, 1.7999999523162842, 0.5]",False
886,128,"[1.0, 2.0, 6.739999771118164, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.46666666865348816, 1.7999999523162842, 0.5]",4,0,"[1.0, 2.0, 6.743333339691162, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.47999998927116394, 1.7999999523162842, 0.5]",False
887,128,"[1.0, 2.0, 6.743333339691162, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 1.0, 0.47999998927116394, 1.7999999523162842, 0.5]",6,-1,"[1.0, 2.0, 6.746666431427002, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.5066666603088379, 1.7999999523162842, 0.0]",True
888,129,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 3.5]",4,0,"[1.0, 3.0, 5.803333282470703, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 2.0, 0.0, 1.7999999523162842, 3.0]",False
