Episodio,Durata/Episodio,Loss/Episodio,Reward/Episodio
1,7,0.4644541467679913,3
2,2,0.349058325420242,8
3,10,0.4138954043646086,-10
4,10,0.4119864108544643,-9
5,8,0.4911172646856548,12
6,10,0.35147152704387896,-10
7,4,0.3715604225970306,6
8,7,0.40977863959873384,4
9,4,0.5211731172410843,8
10,10,0.5734196826879109,-9
11,10,0.6780036544443518,-9
12,10,0.684843294033713,-9
13,10,0.48034066709974665,-11
14,8,0.42360251016964345,3
15,8,0.4983482519811553,2
16,2,0.3625610357186006,18
17,5,0.3945317277713112,15
18,10,0.5177844855251182,-10
19,10,0.5770942130265442,-10
20,10,0.42607602413282886,-10
21,10,0.3785496321448913,-9
22,10,0.4813459166110027,-10
23,7,0.5801097663233848,3
24,3,0.6690962217326768,7
25,2,0.07862568659486857,8
26,3,0.5230856376352403,7
27,4,0.42594127966114026,6
28,7,0.3260824934005985,3
29,6,0.8866402132124264,4
30,3,0.5918663168410027,17
31,9,0.4550751222508067,2
32,10,0.3319022729367419,-9
33,7,0.3886698905276486,3
34,10,0.374519421427314,-10
35,6,0.5547581241911833,14
36,4,0.5308014089166432,6
37,10,0.43667818320539675,-9
38,4,0.5258762624480074,6
39,4,0.5161633508797983,6
40,6,0.604079750625944,4
41,8,0.5532407385628872,3
42,6,0.3776084225570569,4
43,10,0.5602780065803487,-9
44,4,0.4730156156617013,7
45,2,0.3487116072202845,9
46,10,0.5305869809854673,-10
47,3,0.7810671570674078,7
48,7,0.4260533360160369,3
49,10,0.6516937436107318,-10
50,8,0.6083104069176488,2
51,4,0.5412895125245621,6
52,10,0.6786394074840205,-10
53,10,0.5587936452553581,-9
54,8,0.41726215366968683,2
55,10,0.4911557950850039,-9
56,10,0.49889938513001464,-9
57,10,0.6119134902336303,-10
58,3,0.5299195130723499,7
59,6,0.6490068316271632,4
60,6,0.5901471846363706,5
61,10,0.45995626808010986,-9
62,10,0.4897583802965289,-10
63,10,0.41796763980820745,-10
64,10,0.6070961348277617,-10
65,9,0.49213317253133115,1
66,9,0.4845071235618447,3
67,10,0.47700591462974257,-10
68,7,0.489891489999891,3
69,2,0.19278191217918073,8
70,10,0.5636350406336929,-10
71,10,0.42553139084326996,-9
72,5,0.19879016642129033,5
73,10,0.4077896649184349,-9
74,3,0.5679174343354614,7
75,2,0.3955779965886658,8
76,10,0.4925033949131194,-11
77,10,0.4451837918515068,-9
78,10,0.6281977359495979,0
79,1,0.5678157328271,9
80,10,0.5515876369843209,-10
81,10,0.5117992126449754,2
82,2,0.13033995290911177,8
83,10,0.637621741079579,-10
84,2,0.8636641132355785,8
85,6,0.46097248203313274,5
86,10,0.4602072897043629,1
87,10,0.5852886226401373,-9
88,4,0.4312052585782282,6
89,3,0.27503103673644047,7
90,2,0.47294695611676524,8
91,10,0.5463286718519239,-9
92,2,0.7699143011207414,8
93,10,0.4876860452369682,-10
94,1,0.6854258216661275,9
95,9,0.28793221117951806,1
96,2,0.42937242104623374,8
97,10,0.4219474942630076,-9
98,10,0.5359739223147975,-10
99,10,0.6378453687171978,-9
100,8,0.38667259948459626,3
101,10,0.5358706825273865,-9
102,10,0.5443400077151799,-10
103,6,0.5057247742854086,4
104,10,0.3784792441821846,-11
105,1,0.19426834724681485,9
106,1,0.12137175827651958,9
107,4,0.4746481116295119,6
108,5,0.5860574187927676,5
109,1,0.08078160754045305,9
110,4,0.5606076817869445,7
111,10,0.493050435606872,-10
112,5,0.5389178979402754,5
113,10,0.5372742286619097,-9
114,10,0.5376887026042791,-10
115,5,0.5573775567760514,15
116,2,0.3443555249111154,18
117,10,0.7116678906409257,-8
118,2,0.43205152001257796,8
119,10,0.6216951159145391,-10
120,6,0.3584698545404154,4
121,9,0.5569362577854053,3
122,2,0.5103416621921794,8
123,3,0.6863675505428454,7
124,8,0.43168949800574774,4
125,2,0.5260080311369209,8
126,10,0.5271163371086083,-10
127,7,0.510478082721508,3
128,10,0.47558711914160356,-9
129,10,0.5496458215788925,-8
130,10,0.5256432791359711,-9
131,2,0.4974351626045924,8
132,2,0.4876918164604425,8
133,10,0.29610451509088265,-10
134,2,0.5650104627291348,8
135,10,0.4364164676775518,-9
136,8,0.6855371306906066,2
137,10,0.3799675483579168,-9
138,10,0.3543124393431568,-10
139,4,0.5317986158544883,6
140,2,0.03724997432764099,8
141,5,0.6476622339029939,5
142,3,0.8279963170274097,7
143,6,0.4430612182793931,5
144,6,0.4164772799737109,5
145,3,0.06366563198147439,7
146,1,0.006657351340832229,9
147,3,0.0675751184468153,7
148,10,0.43141312560042155,-10
149,10,0.5580232795384289,-10
150,10,0.3963981891277366,-8
151,10,0.2990419836788799,-10
152,10,0.39056315104270944,-9
153,8,0.4026355440018917,2
154,2,0.2194803669739101,8
155,3,0.5652052500262776,7
156,2,0.6160354461230348,8
157,4,0.6551827355831507,6
158,10,0.47800511890763203,-10
