step,Duration/Episode,Loss/Episode,Reward/Episode
0,4.0,0.0,6.0
1,9.0,0.0,1.0
2,10.0,0.0,-10.0
3,5.0,0.0,5.0
4,5.0,0.0,5.0
5,3.0,0.0,7.0
6,6.0,0.0,4.0
7,2.0,0.0,18.0
8,10.0,0.0,-10.0
9,10.0,0.0,-10.0
10,2.0,0.0,8.0
11,3.0,0.0,7.0
12,8.0,0.0,2.0
13,2.0,0.0,8.0
14,3.0,0.0,7.0
15,9.0,0.0,1.0
16,2.0,0.0,8.0
17,3.0,0.0,7.0
18,10.0,0.0,-10.0
19,10.0,0.0,-10.0
20,10.0,0.0,-10.0
21,5.0,0.0,5.0
22,4.0,0.0,6.0
23,10.0,0.0,-10.0
24,10.0,0.0,-10.0
25,10.0,0.0,-10.0
26,10.0,0.0,-10.0
27,2.0,0.0,8.0
28,7.0,0.0,3.0
29,9.0,0.0,1.0
30,10.0,0.0,-10.0
31,1.0,0.0,9.0
32,2.0,0.0,8.0
33,3.0,0.0,7.0
34,7.0,0.0,3.0
35,6.0,0.0,4.0
36,3.0,0.0,7.0
37,2.0,0.0,18.0
38,10.0,0.0,-10.0
39,10.0,0.0,-10.0
40,8.0,0.0,2.0
41,2.0,0.0,8.0
42,10.0,0.0,-10.0
43,3.0,0.0,8.0
44,7.0,0.0,3.0
45,6.0,0.0,4.0
46,7.0,0.0,3.0
47,5.0,0.0,5.0
48,10.0,0.0,-11.0
49,3.0,0.0,7.0
50,2.0,0.0,8.0
51,10.0,0.0,-10.0
52,5.0,0.0,5.0
53,3.0,0.0,7.0
54,2.0,0.0,8.0
55,10.0,0.0,0.0
56,3.0,0.0,7.0
57,10.0,0.0,-10.0
58,2.0,0.0,8.0
59,7.0,0.0,3.0
60,8.0,0.0,3.0
61,4.0,0.0,16.0
62,2.0,0.0,8.0
63,10.0,0.0,-10.0
64,7.0,0.0,3.0
65,10.0,0.0,-10.0
66,2.0,0.0,8.0
67,4.0,0.0,6.0
68,10.0,0.0,-10.0
69,10.0,0.0,-10.0
70,10.0,0.0,-10.0
71,8.0,0.0,2.0
72,7.0,0.0,3.0
73,3.0,0.0,7.0
74,4.0,0.0,6.0
75,3.0,0.0,7.0
76,4.0,0.0,7.0
77,3.0,0.0,7.0
78,10.0,0.0,-10.0
79,10.0,0.0,-10.0
80,5.0,0.0,5.0
81,10.0,0.0,-10.0
82,10.0,0.0,-10.0
83,5.0,0.0,5.0
84,9.0,0.0,1.0
85,10.0,0.0,-10.0
86,10.0,0.0,0.0
87,5.0,0.0,4.0
88,5.0,0.0,5.0
89,9.0,0.0,1.0
90,4.0,0.0,6.0
91,9.0,0.0,1.0
92,3.0,0.0,7.0
93,10.0,0.0,-11.0
94,6.0,0.0,4.0
95,10.0,0.0,-10.0
96,2.0,0.0,8.0
97,10.0,0.0,-10.0
98,2.0,0.0,8.0
99,10.0,0.0,-10.0
100,3.0,0.0,7.0
101,10.0,0.0,0.0
102,10.0,0.0,-10.0
103,9.0,0.0,1.0
104,10.0,0.0,-10.0
105,4.0,0.0,6.0
106,10.0,0.0,-10.0
107,10.0,0.0,-10.0
108,3.0,0.0,7.0
109,8.0,0.0,2.0
110,6.0,0.0,4.0
111,10.0,0.0,-10.0
112,7.0,0.0,3.0
113,5.0,0.0,5.0
114,10.0,0.0,-10.0
115,10.0,0.0,-10.0
116,10.0,0.0,-10.0
117,6.0,0.0,4.0
118,3.0,0.0,7.0
119,10.0,0.0,-10.0
120,10.0,0.0,-10.0
121,10.0,0.0,-9.0
122,10.0,0.0,-10.0
123,7.0,0.0,3.0
124,10.0,0.0,-10.0
125,3.0,0.0,7.0
126,10.0,0.0,-10.0
127,10.0,0.0,-10.0
128,10.0,0.0,-10.0
129,10.0,0.0,-9.0
130,3.0,0.0,7.0
131,4.0,0.0,6.0
132,4.0,0.0,6.0
133,7.0,0.0,3.0
134,10.0,0.0,-10.0
135,10.0,0.0,-10.0
136,5.0,0.0,5.0
137,6.0,0.0,4.0
138,10.0,0.0,-10.0
139,10.0,0.0,-10.0
140,6.0,0.0,4.0
141,3.0,0.0,7.0
142,5.0,0.0,5.0
143,10.0,0.0,-10.0
144,4.0,0.0,6.0
145,3.0,0.0,7.0
146,10.0,0.0,-10.0
147,3.0,0.0,7.0
148,8.0,0.0,-8.0
